,time,foreca_temperature,foreca_precipitation,foreca_wind-speed,openmeteo_temperature,openmeteo_precipitation,openmeteo_wind-speed,gismeteo_temperature,gismeteo_precipitation,gismeteo_wind-speed
0,0.0,18.0,0.0,2.0,16.16950035095215,0.0,1.2806248664855957,17.0,0.0,1.0
1,1.0,18.0,0.0,2.0,15.569499969482422,0.0,1.2806248664855957,17.0,0.03333333333333333,1.0
2,2.0,17.0,0.0,2.0,15.069499969482422,0.0,1.2206555604934692,17.0,0.06666666666666667,1.0
3,3.0,17.0,0.0,2.0,14.719499588012695,0.0,1.2206555604934692,17.0,0.1,1.0
4,4.0,16.0,0.0,2.0,14.519499778747559,0.0,1.2806248664855957,17.0,0.2,1.0
5,5.0,16.0,0.0,2.0,14.419499397277832,0.0,1.4142135381698608,17.0,0.30000000000000004,1.0
6,6.0,18.0,0.0,3.0,15.619500160217285,0.0,1.4866068363189697,17.0,0.4,1.0
7,7.0,19.0,0.0,3.0,17.069499969482422,0.0,1.2806248664855957,18.666666666666668,0.2666666666666667,1.6666666666666665
8,8.0,20.0,0.0,3.0,17.66950035095215,0.0,1.1180340051651,20.333333333333332,0.13333333333333336,2.333333333333333
9,9.0,21.0,0.0,3.0,19.319499969482422,0.10000000149011612,1.4142135381698608,22.0,0.0,3.0
10,10.0,22.0,0.0,3.0,21.569499969482422,0.0,1.5811387300491333,22.333333333333332,0.9333333333333332,4.333333333333333
11,11.0,22.0,0.0,4.0,23.469501495361328,0.0,1.7691805362701416,22.666666666666668,1.8666666666666665,5.666666666666666
12,12.0,22.0,0.1,4.0,24.769500732421875,0.0,2.024845838546753,23.0,2.8,7.0
13,13.0,23.0,0.1,4.0,21.8695011138916,0.8999999761581421,3.111269950866699,23.333333333333332,1.9333333333333331,6.666666666666667
14,14.0,23.0,0.0,4.0,23.069499969482422,0.10000000149011612,1.6643316745758057,23.666666666666668,1.0666666666666667,6.333333333333333
15,15.0,22.0,2.0,4.0,22.069499969482422,0.699999988079071,1.8110769987106323,24.0,0.2,6.0
16,16.0,22.0,0.0,4.0,22.019500732421875,0.4000000059604645,2.0591259002685547,23.666666666666668,0.13333333333333336,5.333333333333333
17,17.0,22.0,0.0,3.0,21.6195011138916,0.0,1.6124515533447266,23.333333333333332,0.06666666666666668,4.666666666666667
18,18.0,23.0,0.0,3.0,21.819499969482422,0.0,1.4560219049453735,23.0,0.0,4.0
19,19.0,22.0,0.0,3.0,21.219501495361328,0.0,1.1180340051651,21.666666666666668,0.0,4.0
20,20.0,21.0,0.0,3.0,19.719501495361328,0.20000000298023224,1.5,20.333333333333332,0.0,4.0
21,21.0,19.0,0.0,3.0,18.16950035095215,0.0,1.0,19.0,0.0,4.0
22,22.0,18.0,0.0,3.0,17.219501495361328,0.0,0.8544003963470459,19.0,0.0,4.0
23,23.0,17.0,0.0,2.0,16.269500732421875,0.0,0.7280109524726868,19.0,0.0,4.0
