time,foreca_temperature,foreca_precipitation,foreca_wind-speed,openmeteo_temperature,openmeteo_precipitation,openmeteo_wind-speed,gismeteo_temperature,gismeteo_precipitation,gismeteo_wind-speed,precipitation-probability
0.0,,,,15.169499397277832,0.0,2.0223748683929443,16.0,0.0,0.0,0.0
1.0,,,,14.669499397277832,0.0,1.8027756214141846,15.666666666666666,0.0,0.0,0.0
2.0,,,,14.169499397277832,0.0,1.7464250326156616,15.333333333333334,0.0,0.0,0.0
3.0,,,,13.769499778747559,0.0,1.7088007926940918,15.0,0.0,0.0,0.0
4.0,,,,13.919499397277832,0.0,1.8027756214141846,15.0,0.0,0.0,4.0
5.0,,,,13.369500160217285,0.0,2.0615527629852295,15.0,0.0,0.0,9.0
6.0,,,,13.719499588012695,0.0,2.1377556324005127,15.0,0.0,0.0,13.0
7.0,,,,14.319499969482422,0.6000000238418579,2.2090721130371094,15.0,0.43333333333333335,0.0,37.0
8.0,,,,15.319499969482422,0.10000000149011612,2.200000047683716,15.0,0.8666666666666667,0.0,60.0
9.0,,,,16.41950035095215,0.0,2.5079872608184814,15.0,1.3,0.0,84.0
10.0,,,,16.469501495361328,0.800000011920929,2.9000000953674316,16.333333333333332,3.9000000000000004,0.0,88.0
11.0,16.0,0.4,5.0,16.719501495361328,0.6000000238418579,2.901723861694336,17.666666666666668,6.5,0.0,93.0
12.0,17.0,0.1,5.0,17.469501495361328,0.5,2.906888484954834,19.0,9.1,0.0,97.0
13.0,18.0,0.3,5.0,17.8695011138916,0.20000000298023224,3.1016125679016113,19.0,9.299999999999999,3.0,96.0
14.0,17.0,1.3,6.0,17.8695011138916,0.5,3.0265491008758545,19.0,9.5,6.0,95.0
15.0,17.0,0.6,6.0,17.16950035095215,1.100000023841858,2.6570661067962646,19.0,9.7,9.0,94.0
16.0,17.0,0.1,6.0,17.41950035095215,0.4000000059604645,2.729468822479248,19.0,6.766666666666666,9.0,92.0
17.0,17.0,0.1,5.0,16.66950035095215,2.200000047683716,2.9274563789367676,19.0,3.833333333333333,9.0,89.0
18.0,18.0,0.3,5.0,16.319499969482422,0.0,2.284731864929199,19.0,0.9,9.0,87.0
19.0,18.0,0.7,4.0,16.319499969482422,0.10000000149011612,2.0024983882904053,18.0,0.6000000000000001,8.333333333333334,82.0
20.0,17.0,0.0,4.0,15.719499588012695,0.5,2.2022716999053955,17.0,0.30000000000000004,7.666666666666667,76.0
21.0,16.0,0.0,3.0,14.969499588012695,0.0,1.7029386758804321,16.0,0.0,7.0,71.0
22.0,16.0,0.0,3.0,14.619500160217285,0.0,1.6492422819137573,16.0,0.0,7.0,71.0
23.0,15.0,0.0,3.0,14.269499778747559,0.0,1.8110769987106323,16.0,0.0,7.0,71.0
