time,foreca_temperature,foreca_precipitation,foreca_wind-speed,openmeteo_temperature,openmeteo_precipitation,openmeteo_wind-speed,precipitation-probability,precipitation_probability,gismeteo_temperature,gismeteo_precipitation,gismeteo_wind-speed
0.0,16.0,0.0,3.0,15.369500160217285,0.0,2.0396077632904053,0.0,3.0,15.0,0.0,0.0
1.0,15.0,0.0,3.0,15.019499778747559,0.0,1.8027756214141846,0.0,4.0,15.0,0.0,1.3333333333333333
2.0,15.0,0.0,3.0,14.519499778747559,0.0,1.7888544797897339,0.0,5.0,15.0,0.0,2.6666666666666665
3.0,15.0,0.4,3.0,13.919499397277832,0.0,1.838477611541748,0.0,6.0,15.0,0.0,4.0
4.0,14.0,0.8,3.0,14.169499397277832,0.0,1.8681540489196777,5.0,8.0,15.0,0.0,4.0
5.0,14.0,0.3,3.0,13.819499969482422,0.0,1.9646883010864258,11.0,11.0,15.0,0.0,4.0
6.0,15.0,0.0,3.0,13.869500160217285,0.20000000298023224,2.158703088760376,16.0,13.0,15.0,0.0,4.0
7.0,16.0,0.0,3.0,14.119500160217285,1.2000000476837158,2.2135941982269287,20.0,27.0,15.333333333333334,0.3666666666666667,5.0
8.0,17.0,0.0,4.0,14.319499969482422,1.399999976158142,2.886173963546753,25.0,41.0,15.666666666666666,0.7333333333333334,6.0
9.0,18.0,0.0,4.0,15.319499969482422,0.10000000149011612,2.5999999046325684,29.0,55.0,16.0,1.1,7.0
10.0,20.0,0.0,4.0,15.919499397277832,0.6000000238418579,2.716615676879883,43.0,66.0,16.666666666666668,1.4333333333333333,7.666666666666667
11.0,21.0,0.1,4.0,15.869500160217285,1.0,3.125699758529663,57.0,76.0,17.333333333333332,1.7666666666666666,8.333333333333334
12.0,19.0,0.1,4.0,16.469501495361328,0.30000001192092896,3.401470422744751,71.0,87.0,18.0,2.1,9.0
13.0,19.0,0.0,5.0,16.719501495361328,1.0,3.512833595275879,77.0,91.0,18.333333333333332,1.9000000000000001,8.666666666666666
14.0,20.0,0.2,5.0,17.319499969482422,0.30000001192092896,3.2280025482177734,84.0,96.0,18.666666666666668,1.7,8.333333333333334
15.0,18.0,0.3,6.0,17.269500732421875,0.6000000238418579,3.224903106689453,90.0,100.0,19.0,1.5,8.0
16.0,18.0,0.1,5.0,17.3695011138916,0.5,2.7892651557922363,90.0,96.0,19.0,1.3666666666666667,8.0
17.0,19.0,0.0,5.0,16.91950035095215,0.30000001192092896,2.729468822479248,90.0,91.0,19.0,1.2333333333333334,8.0
18.0,19.0,0.0,5.0,16.8695011138916,0.6000000238418579,2.5317976474761963,90.0,87.0,19.0,1.1,8.0
19.0,19.0,0.0,4.0,16.519500732421875,1.100000023841858,2.5179357528686523,74.0,76.0,18.0,1.1666666666666667,7.666666666666667
20.0,17.0,0.0,4.0,15.819499969482422,0.0,2.2090721130371094,58.0,66.0,17.0,1.2333333333333334,7.333333333333333
21.0,16.0,0.0,3.0,15.269499778747559,0.0,2.0,42.0,55.0,16.0,1.3,7.0
22.0,16.0,0.0,3.0,14.969499588012695,0.0,1.7999999523162842,42.0,55.0,16.0,1.3,7.0
23.0,15.0,0.0,3.0,14.169499397277832,0.0,1.7117242813110352,42.0,55.0,16.0,1.3,7.0
