time,foreca_temperature,foreca_precipitation,foreca_wind-speed,openmeteo_temperature,openmeteo_precipitation,openmeteo_wind-speed,precipitation-probability,precipitation_probability,gismeteo_temperature,gismeteo_precipitation,gismeteo_wind-speed
0.0,15.0,0.0,3.0,15.319499969482422,0.0,2.051828384399414,0.0,0.0,16.0,0.2,0.0
1.0,15.0,0.0,3.0,14.819499969482422,0.0,1.9209372997283936,0.0,0.0,15.333333333333334,0.13333333333333336,0.0
2.0,14.0,0.0,3.0,14.619500160217285,0.0,2.0808651447296143,0.0,0.0,14.666666666666666,0.06666666666666668,0.0
3.0,14.0,0.0,3.0,14.669499397277832,0.0,2.1095023155212402,0.0,0.0,14.0,0.0,0.0
4.0,14.0,0.0,3.0,14.719499588012695,0.0,2.1095023155212402,2.0,13.0,14.666666666666666,0.0,0.0
5.0,14.0,0.0,3.0,14.369500160217285,0.0,2.0591259002685547,4.0,26.0,15.333333333333334,0.0,0.0
6.0,15.0,0.0,3.0,14.269499778747559,0.0,2.0124611854553223,6.0,39.0,16.0,0.0,0.0
7.0,16.0,0.0,3.0,14.919499397277832,0.0,2.64007568359375,8.0,49.0,16.333333333333332,0.3,0.0
8.0,17.0,0.0,3.0,15.969499588012695,0.0,3.1827661991119385,11.0,58.0,16.666666666666668,0.6,0.0
9.0,18.0,0.1,4.0,16.66950035095215,0.20000000298023224,2.729468822479248,13.0,68.0,17.0,0.9,0.0
10.0,18.0,0.1,4.0,16.91950035095215,0.4000000059604645,3.0,23.0,71.0,18.0,0.9,0.0
11.0,19.0,0.1,4.0,17.519500732421875,0.10000000149011612,3.130495071411133,32.0,74.0,19.0,0.9,0.0
12.0,20.0,0.0,4.0,18.819499969482422,0.0,2.9529645442962646,42.0,77.0,20.0,0.9,0.0
13.0,18.0,0.0,4.0,18.1195011138916,0.8999999761581421,2.785677433013916,47.0,72.0,19.666666666666668,0.9333333333333333,4.333333333333333
14.0,18.0,0.1,5.0,19.219501495361328,0.10000000149011612,3.1016125679016113,53.0,66.0,19.333333333333332,0.9666666666666667,8.666666666666666
15.0,20.0,0.3,5.0,19.319499969482422,1.5,3.1622776985168457,58.0,61.0,19.0,1.0,13.0
16.0,20.0,0.2,5.0,19.1195011138916,0.0,3.2202484607696533,60.0,66.0,19.666666666666668,1.9,8.666666666666668
17.0,19.0,0.1,5.0,19.41950035095215,0.0,3.3541018962860107,63.0,72.0,20.333333333333332,2.8,4.333333333333334
18.0,19.0,0.1,5.0,19.019500732421875,0.0,2.8792362213134766,65.0,77.0,21.0,3.7,0.0
19.0,18.0,0.3,4.0,17.66950035095215,0.20000000298023224,2.7513630390167236,55.0,70.0,20.0,3.566666666666667,0.0
20.0,18.0,0.0,4.0,17.069499969482422,0.10000000149011612,2.3086793422698975,45.0,62.0,19.0,3.433333333333333,0.0
21.0,17.0,0.0,3.0,16.16950035095215,0.0,2.0,35.0,55.0,18.0,3.3,0.0
22.0,16.0,0.0,3.0,15.819499969482422,0.0,2.0099751949310303,35.0,55.0,18.0,3.3,0.0
23.0,16.0,0.0,3.0,15.919499397277832,0.0,2.3086793422698975,35.0,55.0,18.0,3.3,0.0
