time,foreca_temperature,foreca_precipitation,foreca_wind-speed,openmeteo_temperature,openmeteo_precipitation,openmeteo_wind-speed,gismeteo_temperature,gismeteo_precipitation,gismeteo_wind-speed,precipitation-probability
0.0,15.0,0.0,3.0,14.069499969482422,0.0,1.9026297330856323,15.0,0.0,3.0,3.0
1.0,15.0,0.0,3.0,13.669499397277832,0.0,1.9026297330856323,14.666666666666666,0.0,3.3333333333333335,2.0
2.0,15.0,0.0,3.0,13.619500160217285,0.0,1.8110769987106323,14.333333333333334,0.0,3.6666666666666665,1.0
3.0,14.0,0.0,3.0,13.569499969482422,0.0,1.7117242813110352,14.0,0.0,4.0,0.0
4.0,14.0,0.0,3.0,13.219499588012695,0.0,1.7117242813110352,14.333333333333334,0.0,4.0,0.0
5.0,14.0,0.0,3.0,13.219499588012695,0.0,1.8110769987106323,14.666666666666666,0.0,4.0,0.0
6.0,15.0,0.0,3.0,13.669499397277832,0.0,1.8248286247253418,15.0,0.0,4.0,0.0
7.0,16.0,0.0,3.0,14.369500160217285,0.0,2.340939998626709,15.666666666666666,0.0,5.0,0.0
8.0,16.0,0.0,4.0,14.669499397277832,0.10000000149011612,1.9416487216949463,16.333333333333332,0.0,6.0,0.0
9.0,17.0,0.1,4.0,15.069499969482422,0.0,2.5495097637176514,17.0,0.0,7.0,0.0
10.0,19.0,0.2,4.0,16.41950035095215,0.0,2.505992889404297,18.333333333333332,0.0,7.0,14.0
11.0,20.0,0.2,4.0,16.91950035095215,0.0,2.729468822479248,19.666666666666668,0.0,7.0,28.0
12.0,21.0,0.1,4.0,16.91950035095215,0.30000001192092896,2.3086793422698975,21.0,0.0,7.0,42.0
13.0,21.0,0.1,4.0,17.8695011138916,0.30000001192092896,2.5298221111297607,21.333333333333332,0.06666666666666667,7.333333333333333,47.0
14.0,20.0,0.0,5.0,18.069499969482422,0.20000000298023224,2.5298221111297607,21.666666666666668,0.13333333333333333,7.666666666666667,53.0
15.0,20.0,0.0,5.0,18.719501495361328,0.10000000149011612,2.340939998626709,22.0,0.2,8.0,58.0
16.0,20.0,0.2,5.0,18.469501495361328,0.30000001192092896,2.692582368850708,21.666666666666668,0.3,7.666666666666667,59.0
17.0,21.0,0.3,4.0,18.269500732421875,0.20000000298023224,2.469817876815796,21.333333333333332,0.4,7.333333333333333,60.0
18.0,21.0,0.0,4.0,17.91950035095215,0.20000000298023224,2.102379560470581,21.0,0.5,7.0,61.0
19.0,20.0,0.0,4.0,17.569499969482422,0.10000000149011612,1.9235384464263916,20.0,0.4666666666666667,6.666666666666667,51.0
20.0,19.0,0.0,3.0,16.6195011138916,0.0,1.4866068363189697,19.0,0.43333333333333335,6.333333333333333,42.0
21.0,18.0,0.0,3.0,15.169499397277832,0.0,1.3152945041656494,18.0,0.4,6.0,32.0
22.0,17.0,0.0,3.0,14.769499778747559,0.0,1.4317821264266968,18.0,0.4,6.0,32.0
23.0,16.0,0.0,3.0,14.469499588012695,0.0,1.2041594982147217,18.0,0.4,6.0,32.0
