time,foreca_temperature,foreca_precipitation,foreca_wind-speed,openmeteo_temperature,openmeteo_precipitation,openmeteo_wind-speed,precipitation-probability,precipitation_probability,gismeteo_temperature,gismeteo_precipitation,gismeteo_wind-speed
0.0,16.0,0.0,2.0,14.869500160217285,0.0,1.9849432706832886,3.0,0.0,15.0,1.1,2.0
1.0,15.0,0.0,2.0,14.569499969482422,0.0,1.8384774923324585,2.0,0.0,14.666666666666666,0.7333333333333334,2.3333333333333335
2.0,15.0,0.0,3.0,14.069499969482422,0.0,1.7029385566711426,1.0,0.0,14.333333333333334,0.3666666666666667,2.6666666666666665
3.0,15.0,0.0,3.0,13.919499397277832,0.0,1.720465064048767,0.0,0.0,14.0,0.0,3.0
4.0,15.0,0.0,3.0,14.019499778747559,0.0,1.886796236038208,0.0,3.0,14.333333333333334,0.0,3.3333333333333335
5.0,14.0,0.0,3.0,13.919499397277832,0.0,1.8027756214141846,0.0,7.0,14.666666666666666,0.0,3.6666666666666665
6.0,15.0,0.0,3.0,14.019499778747559,0.10000000149011612,1.8788294792175293,0.0,10.0,15.0,0.0,4.0
7.0,16.0,0.0,3.0,14.669499397277832,0.0,2.4186770915985107,5.0,13.0,15.666666666666666,0.43333333333333335,5.0
8.0,17.0,0.0,4.0,15.769499778747559,0.0,2.7658631801605225,11.0,16.0,16.333333333333332,0.8666666666666667,6.0
9.0,18.0,0.1,4.0,16.66950035095215,0.30000001192092896,3.0,16.0,19.0,17.0,1.3,7.0
10.0,20.0,0.2,4.0,17.1195011138916,0.4000000059604645,3.041381359100342,26.0,29.0,18.0,1.0333333333333334,7.0
11.0,21.0,0.0,4.0,17.469501495361328,0.30000001192092896,3.2449963092803955,35.0,38.0,19.0,0.7666666666666667,7.0
12.0,20.0,0.0,4.0,18.519500732421875,0.10000000149011612,3.130495071411133,45.0,48.0,20.0,0.5,7.0
13.0,19.0,0.0,5.0,18.3695011138916,0.4000000059604645,3.3734254837036133,53.0,54.0,20.0,0.3666666666666667,7.0
14.0,21.0,0.0,5.0,19.019500732421875,0.30000001192092896,3.5777089595794678,60.0,59.0,20.0,0.23333333333333334,7.0
15.0,20.0,0.4,5.0,18.41950035095215,0.6000000238418579,3.6138620376586914,68.0,65.0,20.0,0.1,7.0
16.0,20.0,0.0,5.0,18.319499969482422,0.4000000059604645,3.4176015853881836,71.0,66.0,19.666666666666668,0.8333333333333333,7.333333333333333
17.0,20.0,0.1,5.0,17.319499969482422,0.20000000298023224,3.827531576156616,74.0,67.0,19.333333333333332,1.5666666666666667,7.666666666666667
18.0,19.0,0.0,5.0,16.91950035095215,0.10000000149011612,3.676955223083496,77.0,68.0,19.0,2.3,8.0
19.0,19.0,0.4,4.0,15.869500160217285,0.5,3.289376735687256,63.0,61.0,18.333333333333332,1.6666666666666665,7.666666666666667
20.0,18.0,0.0,4.0,15.669499397277832,0.0,2.912043809890747,49.0,55.0,17.666666666666668,1.0333333333333332,7.333333333333333
21.0,17.0,0.0,3.0,15.269499778747559,0.0,2.102379560470581,35.0,48.0,17.0,0.4,7.0
22.0,17.0,0.0,3.0,14.869500160217285,0.0,1.9026297330856323,35.0,48.0,17.0,0.4,7.0
23.0,16.0,0.0,3.0,14.819499969482422,0.0,2.0099751949310303,35.0,48.0,17.0,0.4,7.0
