time,temperature,probability,wind-speed,precipitation
0.0,17.609750747680664,0.0,1.952769249677658,0.55
1.0,18.03474998474121,0.0,2.050000011920929,0.8
2.0,17.734750747680664,0.0,2.7648529410362244,0.3
3.0,18.584750175476074,0.0,2.7280109524726868,0.25
4.0,19.484750747680664,33.0,3.276208758354187,0.0
5.0,19.4347505569458,67.0,3.434077024459839,0.0
6.0,19.28474998474121,100.0,3.934077024459839,0.44999998807907104
7.0,19.134750366210938,100.0,3.6629703044891357,1.7000000476837158
8.0,17.359750747680664,100.0,2.903566837310791,0.95
9.0,17.734750747680664,100.0,2.9317821264266968,0.55
10.0,18.334750175476074,81.0,3.1710773706436157,0.95
11.0,18.1847505569458,61.0,4.147090911865234,0.6
12.0,19.209750175476074,42.0,4.10950231552124,0.3
13.0,20.334750175476074,42.0,4.732711315155029,0.0
14.0,20.384750366210938,42.0,4.6708292961120605,0.0
15.0,20.209750175476074,42.0,4.850675582885742,0.0
16.0,19.859750747680664,41.0,4.292344808578491,0.0
17.0,19.334750175476074,40.0,4.134778261184692,0.0
18.0,18.65974998474121,39.0,3.4705440998077393,0.0
19.0,17.834750175476074,37.0,3.0012491941452026,0.0
20.0,16.859749794006348,34.0,2.0,0.0
21.0,16.584749698638916,32.0,1.5522680282592773,0.0
22.0,15.959749698638916,32.0,1.6020797491073608,0.0
23.0,15.784749984741211,32.0,1.5852349996566772,0.0
