time,temperature,probability,wind-speed,precipitation
0.0,15.459749698638916,0.0,1.4924716353416443,0.0
1.0,15.309750080108643,0.0,1.4552485942840576,0.0
2.0,14.209749698638916,0.0,1.5,0.0
3.0,14.709749698638916,0.0,1.5124229192733765,0.0
4.0,14.659749984741211,2.0,1.4861541390419006,0.0
5.0,14.63474988937378,4.0,1.5295629501342773,0.0
6.0,14.659749984741211,6.0,2.1180340051651,0.0
7.0,15.409749984741211,8.0,2.3729530572891235,0.0
8.0,16.40974998474121,11.0,2.520690679550171,0.0
9.0,17.959750175476074,13.0,2.5,0.0
10.0,18.959750175476074,23.0,3.1643316745758057,0.05000000074505806
11.0,19.1847505569458,32.0,3.3027756214141846,0.10000000074505806
12.0,19.40974998474121,42.0,3.4137659072875977,0.05000000074505806
13.0,19.40974998474121,47.0,3.224094033241272,0.05000000074505806
14.0,19.459750175476074,53.0,3.7585506439208984,0.35000001192092894
15.0,19.609750747680664,58.0,3.700735092163086,0.3
16.0,19.0597505569458,60.0,3.7102630138397217,0.3999999940395355
17.0,18.334750175476074,63.0,3.8124568462371826,0.20000000149011612
18.0,17.9347505569458,65.0,3.708800792694092,0.25000000074505807
19.0,17.734750747680664,55.0,3.457737922668457,0.10000000074505806
20.0,17.5597505569458,45.0,2.6011358499526978,0.05
21.0,16.25974988937378,35.0,2.5307763814926147,0.0
22.0,16.234749794006348,35.0,2.6280514001846313,0.0
23.0,15.50974988937378,35.0,2.434077024459839,0.0
