time,temperature,precipitation,wind-speed
0.0,16.073166529337566,0.0,0.9739848176638285
1.0,15.556499799092611,0.0,1.1383329100079007
2.0,14.83983325958252,0.0,1.4222222301695082
3.0,14.056499799092611,0.0,1.4055174986521404
4.0,13.784277704026964,0.0,1.4333333174387615
5.0,13.978722148471407,0.0,1.3726780017217
6.0,14.756499926249186,0.0,1.3887301286061604
7.0,16.56761148240831,0.033333333830038704,1.899999996026357
8.0,18.595389260186092,0.0,2.3333333333333335
9.0,20.32316716512044,0.0,2.6406514843304953
10.0,21.539833704630535,0.0,2.921705153253343
11.0,22.52316665649414,0.0,3.5530508491728043
12.0,23.57316716512044,0.0,3.632455507914225
13.0,23.88427776760525,0.0,3.6200358470280967
14.0,24.078722212049698,0.0,3.731057087580363
15.0,24.423166910807293,0.0,3.5185449918111167
16.0,24.528722339206272,0.0,3.110332780414158
17.0,24.35094494289822,0.0,2.8790579504436913
18.0,24.07316716512044,0.0,2.6477993726730347
19.0,22.88427776760525,0.0,2.3712934288713665
20.0,21.112055672539608,0.0,1.9444444444444444
21.0,18.789833704630535,0.0,1.7868517140547435
22.0,17.73983383178711,0.0,1.8461721539497375
23.0,16.9064998626709,0.0,1.8902734716733296
