time,precipitation,temperature,wind-speed
0.0,0.0,15.873166720072428,0.5128388206164042
1.0,0.0,15.02316665649414,0.6578819221920437
2.0,0.0,14.439833323160807,1.1576308144463432
3.0,0.0,13.539833386739096,1.20275874932607
4.0,0.0,13.528722021314833,1.290616598394182
5.0,0.0,13.317611164516874,1.4579244785838654
6.0,0.0,14.756499926249186,1.5128388206164043
7.0,0.0,17.234278149074978,1.6757406029436321
8.0,0.0,19.762055926852756,1.8979628251658545
9.0,0.0,22.006500244140625,2.307318150997162
10.0,0.0,23.650944815741642,2.8458309438493514
11.0,0.0,24.828722212049698,3.019835127724542
12.0,0.0,25.789833704630535,3.6009252071380615
13.0,0.0,26.200944688585068,3.790980365541246
14.0,0.0,26.41205554538303,3.9348074330223937
15.0,0.0,26.57316716512044,4.533974091211955
16.0,0.0,26.562055799696182,4.210196336110433
17.0,0.0,26.31761148240831,4.167333046595256
18.0,0.0,25.356499989827473,4.670411427815755
19.0,0.0,24.367611355251736,3.8749603430430093
20.0,0.0,22.578722212049698,3.471404512723287
21.0,0.0,20.923166910807293,3.46785561243693
22.0,0.0,19.80650011698405,3.43843150138855
23.0,0.0,19.32316716512044,3.5099019606908164
