time,wind-speed,temperature,precipitation,probability
0.0,1.5099019606908162,18.82316716512044,0.0,52.0
1.0,1.537483851114909,18.328722212049698,0.0,35.0
2.0,1.134522279103597,18.0342780219184,0.0,17.0
3.0,1.072184165318807,17.80650011698405,0.0,0.0
4.0,1.072184165318807,17.312055799696182,0.0,0.0
5.0,1.4447221358617146,17.184278276231552,0.0,0.0
6.0,1.477260708808899,17.7065003712972,0.0,0.0
7.0,1.5044248501459758,19.562055799696182,0.0,0.0
8.0,1.6333333253860474,21.367611355251736,0.0,0.0
9.0,1.6666666666666667,22.673166910807293,0.0,0.0
10.0,2.133333365122477,24.267611609564884,0.022222222222222223,12.0
11.0,2.2057501475016275,24.878722720676,0.044444444444444446,23.0
12.0,2.3421830336252847,26.039833704630535,0.06666666666666667,35.0
13.0,4.380021174748738,26.48983383178711,2.0444444444444447,38.0
14.0,6.433838287989299,24.2065003712972,3.222222222222222,42.0
15.0,8.445887883504232,24.389833450317383,4.833333333830039,45.0
16.0,6.360194762547811,25.43983332316081,3.3444444444444446,50.0
17.0,4.230860789616902,25.406500498453777,1.9222222222222223,56.0
18.0,2.102893114089966,24.27316665649414,1.4666666666666668,61.0
19.0,1.9805495738983154,23.262055926852756,0.2888888888888889,45.0
20.0,1.3162277539571126,21.834277894761826,0.1777777777777778,29.0
21.0,0.8157378733158112,20.43983332316081,0.09999999999999999,13.0
22.0,0.861031730969747,19.606499989827473,0.09999999999999999,13.0
23.0,0.8666666746139526,18.873167037963867,0.09999999999999999,13.0
