time,precipitation,wind-speed,temperature,probability
0.0,0.06666666666666667,1.6839427947998047,15.439833323160807,0.0
1.0,0.04444444444444445,1.6403124332427979,15.05094443427192,0.0
2.0,0.022222222222222227,1.6936217149098713,14.428722275627983,0.0
3.0,0.0,1.70316743850708,14.223166465759277,0.0
4.0,0.0,1.70316743850708,14.462055418226454,13.0
5.0,0.0,1.6863753000895183,14.567611164516874,26.0
6.0,0.0,1.6708203951517742,15.08983325958252,39.0
7.0,0.12222222222222223,1.8800252278645833,15.750944243537054,49.0
8.0,0.24444444444444446,2.060922066370646,16.545388751559788,58.0
9.0,0.46666666766007747,2.2431562741597495,17.223166783650715,68.0
10.0,0.5111111130979326,2.3333333333333335,17.639833450317383,66.0
11.0,0.38888888938559424,2.3768316904703775,18.506500244140625,63.0
12.0,0.3,2.317654848098755,19.606499989827473,61.0
13.0,0.6111111031638251,3.7063369221157494,18.595389260186092,59.0
14.0,0.38888888938559424,5.5894264115227585,18.85094494289822,57.0
15.0,0.9333333333333332,7.150845130284627,19.123167037963867,55.0
16.0,0.811111115084754,5.768907202614678,19.250944561428494,61.0
17.0,0.9888888888888888,4.113885031806098,18.97872246636285,68.0
18.0,1.599999992052714,2.7524331410725913,18.873167037963867,74.0
19.0,1.288888889385594,3.1099994447496204,18.039833704630535,58.0
20.0,1.0444444444444445,3.754272513919407,17.506500244140625,42.0
21.0,0.9333333333333332,4.036500692367554,16.55649979909261,26.0
22.0,0.9333333333333332,4.040440082550049,16.1564998626709,26.0
23.0,0.9333333333333332,4.069690704345703,16.1564998626709,26.0
